Company Name,Ticker,Market Cap (mil),Avg Volume,Industry,Sector
"PhoneX","PXHI","37.86","1868","Internet - Delivery Services","Computer and Technology"
"Pixelworks","PXLW","41.92","265618","Electronics - Semiconductors","Computer and Technology"
"PaxMedica, Inc.","PXMD","1.19","79608","Medical - Biomedical and Genetics","Medical"
"Pyxis Tankers","PXS","44.51","29141","Transportation - Shipping","Transportation"
"Paycor HCM","PYCR","3077.55","949376","Internet - Software","Computer and Technology"
"PolyPid","PYPD","17.03","7591","Medical - Drugs","Medical"
"PayPal","PYPL","83220.75","10680642","Internet - Software","Computer and Technology"
"PyroGenesis Canada","PYRGF","101.24","27246","Manufacturing - General Industrial ","Industrial Products"
"Pyxis Oncology","PYXS","262.65","608351","Medical - Drugs","Medical"
"Paramount Gold Nevada","PZG","23.26","131587","Mining - Non Ferrous","Basic Materials"
"Papa John's International","PZZA","1798.23","1001262","Retail - Restaurants","Retail-Wholesale"
"Qualstar","QBAK","5.21","289","Computer- Storage Devices","Computer and Technology"
"Q Biomed","QBIO",".01","174167","Medical Services","Medical"
"D-WAVE QUANTUM","QBTS","322.29","9127670","Internet - Software","Computer and Technology"
"QC Holdings","QCCO","5.73","728","Financial - Miscellaneous Services","Finance"
"Qualcomm","QCOM","189881.03","8801697","Wireless Equipment","Computer and Technology"
"QCR Holdings","QCRH","1498.59","79236","Banks - Midwest","Finance"
"Qudian","QD","479.44","545351","Financial - Consumer Loans","Finance"
"QuidelOrtho","QDEL","2941.55","611635","Medical - Products","Medical"
"QDM International Inc.","QDMI","790.14","82","Medical Services","Medical"
"Q.E.P. Co.","QEPC","117.97","1178","Tools - Handheld","Consumer Discretionary"
"Qifu Technology, Inc.","QFIN","5035.56","1242197","Technology Services","Business Services"
"QIAGEN","QGEN","9986.15","947270","Medical - Biomedical and Genetics","Medical"
"Quhuo Limited","QH","8.57","145033","Technology Services","Business Services"
"Quipt Home Medical","QIPT","116.35","119898","Medical - Products","Medical"
"Qualigen Therapeutics","QLGN","1.17","202229","Medical - Drugs","Medical"
"Qualys","QLYS","5634.56","613815","Security","Computer and Technology"
"QuoteMedia","QMCI","18.43","30041","Internet - Services","Computer and Technology"
"Quantum","QMCO","21.23","54964","Computer- Storage Devices","Computer and Technology"
"QMMM Holdings Limited","QMMM","161.4","1279213","Advertising and Marketing","Business Services"
"QNB","QNBC","117.93","1424","Banks - Northeast","Finance"
"Quince Therapeutics, Inc.","QNCX","73.57","1332588","Medical - Biomedical and Genetics","Medical"
"Quoin Pharmaceuticals","QNRX","3.38","6842599","Medical - Drugs","Medical"
"QuinStreet","QNST","1262.81","508673","Internet - Delivery Services","Computer and Technology"
"QUANTUM BIOPHAR","QNTM","7.32","124129","Medical - Biomedical and Genetics","Medical"
"Quaint Oak Bancorp","QNTO","29.63","128","Banks - Northeast","Finance"
"","QQQ","309409.47","29659850","Financial - Investment Funds","Finance"
"","QQQX","1281.21","69426","Financial - Investment Funds","Finance"
"Quest Resource","QRHC","147.72","41594","Waste Removal Services","Business Services"
"Qurate Retail Group","QRTEA","178.73","2162237","Internet - Commerce","Retail-Wholesale"
"Qurate Retail Group","QRTEB","1234.43","4309","Internet - Commerce","Retail-Wholesale"
"Qorvo","QRVO","6649.95","2055926","Semiconductors - Radio Frequency","Computer and Technology"
"QuantumScape","QS","2572.61","12685965","Automotive - Original Equipment","Auto-Tires-Trucks"
"Save The World Air","QSEP","43.55","251001","Pollution Control","Industrial Products"
"QuantaSing Group Limited Unsponsored ADR","QSG","171.05","178851","Schools","Consumer Discretionary"
"QuantumSi Incorporated","QSI","133.8","555858","Electronics - Semiconductors","Computer and Technology"
"Restaurant Brands International","QSR","22008.87","1417385","Retail - Restaurants","Retail-Wholesale"
"QT Imaging Holdings, Inc.","QTI","10.94","101303","Medical - Instruments","Medical"
"WiLAN","QTRHF","133.15","8494","Technology Services","Business Services"
"Quanterix","QTRX","579.52","366058","Medical - Products","Medical"
"Q32 Bio Inc.","QTTB","551.66","91408","Medical - Biomedical and Genetics","Medical"
"Q2 Holdings","QTWO","6205.6","689788","Business - Software Services","Computer and Technology"
"Quad Graphics","QUAD","382.55","329498","Commercial Printing","Industrial Products"
"Quantum Computing Inc.","QUBT","141.69","3804650","Internet - Software","Computer and Technology"
"QuickLogic","QUIK","116.01","119526","Electronics - Semiconductors","Computer and Technology"
"uniQure","QURE","379.71","761704","Medical - Biomedical and Genetics","Medical"
"QXO INC","QXO","6571.35","1533875","Technology Services","Business Services"
"Ryder System","R","6885.69","302444","Transportation - Equipment and Leasing","Transportation"
"Rite Aid","RADCQ",".56","0","Retail - Pharmacies and Drug Stores","Retail-Wholesale"
"Freightcar America","RAIL","287.45","428749","Transportation - Equipment and Leasing","Transportation"
"LiveRamp","RAMP","1847.63","497164","Technology Services","Business Services"
"Rani Therapeutics","RANI","128.71","5055358","Medical - Biomedical and Genetics","Medical"
"Randstad Holding","RANJY","8168.06","14658","Staffing Firms","Business Services"
"Raphael Pharmaceutical Inc.","RAPH","4.86","158","Medical - Drugs","Medical"
"Rapport Therapeutics, Inc.","RAPP","976.23","91173","Medical - Biomedical and Genetics","Medical"
"Rapt Therapeutics","RAPT","100.87","354417","Medical - Biomedical and Genetics","Medical"
"Ultragenyx Pharmaceutical","RARE","4650.46","809674","Medical - Biomedical and Genetics","Medical"
"Rave Restaurant Group","RAVE","43.99","61514","Retail - Restaurants","Retail-Wholesale"
"Raytech Holding Limited","RAY","28.53","22388","Retail - Consumer Electronics","Retail-Wholesale"
"Erayak Power Solution Group Inc.","RAYA","32.48","118687","Electronics - Miscellaneous Products","Computer and Technology"
"RB Global, Inc.","RBA","16939.69","870434","Financial Transaction Services","Business Services"
"RBB Bancorp","RBB","432.66","47298","Banks - West","Finance"
"Ribbon Communications","RBBN","731.35","365164","Communication - Network Software","Computer and Technology"
"RBC Bearings","RBC","10046.28","137840","Manufacturing - General Industrial ","Industrial Products"
"Republic Bancorp","RBCAA","1481.65","18383","Banks - Southeast","Finance"
"Rubicon Technology","RBCN","4.16","613","Electronics - Semiconductors","Computer and Technology"
"Reckitt Benckiser Group","RBGLY","42741.77","1626542","Soap and Cleaning Materials","Consumer Staples"
"Rhinebeck Bancorp","RBKB","103.67","7890","Banks - Northeast","Finance"
"Roblox","RBLX","31835.45","9093240","Gaming","Consumer Discretionary"
"D8","RBOT","49.54","19277","Medical - Instruments","Medical"
"Rubrik, Inc.","RBRK","8059.69","1357910","Internet - Software","Computer and Technology"
"NatWest Group PLC","RBSPF","39575.36","16805","Banks - Foreign","Finance"
"Rubicon Technologies, Inc.","RBTC","3.32","852629","Technology Services","Business Services"
"Ready Capital Corp","RC","1229.65","1515339","REIT and Equity Trust","Finance"
"Red Cat","RCAT","274.49","1306371","Technology Services","Business Services"
"G.E.T.T. Gold","RCCMF",".01","100","Mining - Gold","Basic Materials"
"Avita Medical","RCEL","313.3","81894","Medical - Drugs","Medical"
"Perception Capital Corp. IV","RCFA","121.49","8004","Mining - Gold","Basic Materials"
"Rogers Communication","RCI","19351.88","993770","Cable Television","Consumer Discretionary"
"Reelcause","RCIT","2.33","2054","Internet - Software","Computer and Technology"
"Rocket Pharmaceuticals","RCKT","1590.69","674290","Medical - Biomedical and Genetics","Medical"
"Rocky Brands","RCKY","160.9","53652","Shoes and Retail Apparel ","Consumer Discretionary"
"Royal Caribbean Cruises","RCL","60569.53","1943020","Leisure and Recreation Services","Consumer Discretionary"
"R1 RCM INC","RCM","6031.79","1559537","Technology Services","Business Services"
"RCM Technologies","RCMT","182.4","35865","Staffing Firms","Business Services"
"Recon Technology","RCON","21.24","18328","Oil and Gas - Mechanical and and Equipment","Oils-Energy"
"","RCS","359.81","147104","Financial - Investment Funds","Finance"
"Arcus Biosciences","RCUS","1633.48","916843","Medical - Biomedical and Genetics","Medical"
"Radcom","RDCM","163.67","29305","Computer - Networking","Computer and Technology"
"Reddit Inc.","RDDT","23667.95","8232733","Internet - Software","Computer and Technology"
"Redfin","RDFN","1198.89","6007060","Real Estate - Operations","Finance"
"Advanced Medical Isotope","RDGL","46.4","1282104","Financial - SBIC & Commercial Industry","Finance"
"Redhill Biopharma","RDHL","10.26","12756","Medical - Drugs","Medical"
"Reading International","RDI","32.52","23876","Leisure and Recreation Services","Consumer Discretionary"
"Radian Group","RDN","4986.26","1307244","Insurance - Multi line","Finance"
"RadNet","RDNT","5364.12","449916","Medical - Outpatient and Home Healthcare","Medical"
"","RDOG","14.41","790","Financial - Investment Funds","Finance"
"Radius Recycling, Inc.","RDUS","558.55","179910","Waste Removal Services","Business Services"
"RDVA","RDVA","0","0","Rubber - Plastics","Industrial Products"
"Red Violet","RDVT","486.85","59164","Internet - Software and Services","Computer and Technology"
"Redwire Corporation","RDW","600.15","477312","Aerospace - Defense","Aerospace"
"Radware","RDWR","915.07","218602","Internet - Software","Computer and Technology"
"Dr. Reddys Laboratories","RDY","12612.33","753655","Medical - Generic Drugs","Medical"
"Roadzen Inc.","RDZN","62.12","95945","Insurance - Property and Casualty","Finance"
"The RealReal","REAL","412.44","2168600","Consumer Products - Discretionary","Consumer Discretionary"
"The Real Brokerage","REAX","1285.4","645103","Technology Services","Business Services"
"Reborn Coffee, Inc.","REBN","5.37","113833","Consumer Products - Staples","Consumer Staples"
"Rectitude Holdings Ltd.","RECT","50.75","7860","Security and Safety Services","Industrial Products"
"REE Automotive","REE","75.55","75276","Automotive - Original Equipment","Auto-Tires-Trucks"
"Reeds","REED","5.19","3395","Beverages - Soft drinks","Consumer Staples"
"Chicago Atlantic Real Estate Finance","REFI","310.62","72943","Financial - Miscellaneous Services","Finance"
"Research Frontiers","REFR","76.76","24320","Electronics - Miscellaneous Products","Computer and Technology"
"Regency Centers","REG","13474.31","981475","REIT and Equity Trust - Retail","Finance"
"Regeneron Pharmaceuticals","REGN","91034.68","804170","Medical - Biomedical and Genetics","Medical"
"Ring Energy","REI","307.2","2021014","Oil and Gas - Exploration and Production - United States","Oils-Energy"
"Rekor Systems","REKR","105.32","882418","Internet - Software","Computer and Technology"
"Richardson Electronics","RELL","210.68","65580","Electronics - Parts Distribution","Computer and Technology"
"RELX","RELX","89443","687034","Internet - Content","Computer and Technology"
"Remitly Global","RELY","3862.19","2245969","Financial Transaction Services","Business Services"
"Remedent, Inc.","REMI","1","1","Medical - Dental Supplies","Medical"
"Remy Cointreau","REMYY","3103.54","48614","Beverages - Alcohol","Consumer Staples"
"RENOVARO INC","RENB","102.53","523232","Medical - Biomedical and Genetics","Medical"
"Rent the Runway","RENT","37","53823","Retail - Apparel and Shoes","Retail-Wholesale"
"ReoStar Energy","REOS","1.48","35460","Oil and Gas - Exploration and Production - United States","Oils-Energy"
"Replimune Group","REPL","849.92","439921","Medical - Biomedical and Genetics","Medical"
"Riley Exploration Permian","REPX","717.31","96664","Oil and Gas - Exploration and Production - United States","Oils-Energy"
"Repsol","REPYY","15102.97","187523","Oil and Gas - Integrated - International","Oils-Energy"
"ATRenew","RERE","621.87","715604","Technology Services","Business Services"
"RPC","RES","1291.98","1738143","Oil and Gas - Field Services","Oils-Energy"
"ReTo EcoSolutions","RETO","22.59","113124","Building Products - Concrete and Aggregates","Construction"
"Revelation Biosciences","REVB","1.35","235225","Medical - Biomedical and Genetics","Medical"
"REV Group","REVG","1557.88","515232","Transportation - Services","Transportation"
"REX American Resources","REX","852.01","94319","Biofuels","Oils-Energy"
"Rexford Industrial Realty","REXR","9587.31","2164369","REIT and Equity Trust - Other","Finance"
"Reynolds Consumer Products","REYN","5766.4","563961","Consumer Products - Discretionary","Consumer Discretionary"
"Resideo Technologies","REZI","3528.79","704546","Security and Safety Services","Industrial Products"
"Regions Financial","RF","23285.09","8576629","Banks - Southeast","Finance"
"Renfourth Resources","RFHRF","3.54","15547","Mining - Gold","Basic Materials"
"","RFI","344.64","89285","Financial - Investment Funds","Finance"
"RF Industries","RFIL","43.02","10875","Semiconductors - Radio Frequency","Computer and Technology"
"Rafael Holdings","RFL","47.9","38903","Medical - Drugs","Medical"
"Reinsurance Group of America","RGA","14757.56","344672","Insurance - Life Insurance","Finance"
"Regencell Bioscience","RGC","90.05","212812","Medical - Biomedical and Genetics","Medical"
"RGC Resources","RGCO","228.19","9151","Oil and Gas - Refining and Marketing","Oils-Energy"
"Repligen","RGEN","7880.11","539011","Medical - Biomedical and Genetics","Medical"
"Real Good Food Company, Inc.","RGF","10.97","109977","Food - Miscellaneous","Consumer Staples"
"Regenicin","RGIN",".02","50500","Medical - Biomedical and Genetics","Medical"
"Royal Gold","RGLD","9858.92","314000","Mining - Gold","Basic Materials"
"Regulus Therapeutics","RGLS","96.29","446078","Medical - Drugs","Medical"
"REGENXBIO","RGNX","552.92","553398","Medical - Biomedical and Genetics","Medical"
"Resources Connection","RGP","294.55","306193","Staffing Firms","Business Services"
"Sturm, Ruger & Company","RGR","689.43","194738","Leisure and Recreation Products","Consumer Discretionary"
"RegeneRx Biopharmaceuticals","RGRX","0","286","Medical - Biomedical and Genetics","Medical"
"Regis","RGS","43.34","42909","Retail - Miscellaneous","Retail-Wholesale"
"RegenETP, Inc.","RGTPQ",".89","1801","Medical - Biomedical and Genetics","Medical"
"RH","RH","6144.66","630526","Consumer Products - Staples","Consumer Staples"
"Adcare Health Systems","RHE","3.81","12398","REIT and Equity Trust - Other","Finance"
"Robert Half Inc.","RHI","7820.22","1192236","Staffing Firms","Business Services"
"Ryman Hospitality Properties","RHP","6738.88","492594","REIT and Equity Trust - Other","Finance"
"RiceBran Technologies","RIBT",".02","8047","Agriculture - Operations","Consumer Staples"
"RCI Hospitality","RICK","444.88","74331","Leisure and Recreation Services","Consumer Discretionary"
"Ricoh Co.","RICOY","6691.68","241","Office Automation and Equipment","Computer and Technology"
"Transocean","RIG","3914.84","19617034","Oil and Gas - Drilling","Oils-Energy"
"Rigel Pharmaceuticals","RIGL","388.76","167173","Medical - Drugs","Medical"
"Rightscorp","RIHT","3.05","20286","Business - Services","Business Services"
"CDN CRITCL MNRL","RIINF","7.59","51417","Mining - Miscellaneous","Basic Materials"
"B. Riley Financial","RILY","158.14","2614231","Auction and Valuation Services","Business Services"
"Algorhythm Holdings, Inc.","RIME","3.41","1397847","Technology Services","Business Services"
"Rino International","RINO",".25","206","Waste Removal Services","Business Services"
"Rio Tinto","RIO","80712.67","2707379","Mining - Miscellaneous","Basic Materials"
"Riot Platforms, Inc.","RIOT","4257.09","25373114","Technology Services","Business Services"
"RITHM CAP CP","RITM","5602.71","4554128","Financial - Miscellaneous Services","Finance"
"Reitar Logtech Holdings Limited","RITR","392.63","171217","Diversified Operations","Conglomerates"
"Rivian Automotive","RIVN","10677.62","28576000","Automotive - Domestic","Auto-Tires-Trucks"
"Raymond James Financial","RJF","32689.4","1503964","Financial - Investment Bank","Finance"
"Arcadia Biosciences","RKDA","5.52","27815","Agriculture - Products","Basic Materials"
"RocketFuel Blockchain","RKFL",".67","8059","Technology Services","Business Services"
"Rocket Lab USA","RKLB","6709.61","13011143","Aerospace - Defense","Aerospace"
"Rocket Companies","RKT","31572.54","2923938","Financial - Mortgage & Related Services","Finance"
"Rakuten","RKUNY","12866.24","42383","Internet - Services","Computer and Technology"
"Ralph Lauren","RL","13786.47","651338","Textile - Apparel","Consumer Discretionary"
"Relay Therapeutics","RLAY","830.12","1289547","Medical - Drugs","Medical"
"Real Brands","RLBD",".27","83636","Consumer Products - Discretionary","Consumer Discretionary"
"Reliability","RLBY","24","7413","Electronics - Measuring Instruments","Computer and Technology"
"Radiant Logistics","RLGT","348.05","88381","Transportation - Air Freight and Cargo","Transportation"
"RLI","RLI","7885.42","158749","Insurance - Property and Casualty","Finance"
"RLJ Lodging Trust","RLJ","1490.15","1670090","REIT and Equity Trust - Other","Finance"
"Relmada Therapeutics","RLMD","98.97","108141","Medical - Drugs","Medical"
"RLX Technology","RLX","2560.39","4948508","Consumer Products - Discretionary","Consumer Discretionary"
"Rallybio","RLYB","41.49","88189","Medical - Biomedical and Genetics","Medical"
"Regional Management","RM","314.92","23146","Financial - Consumer Loans","Finance"
"REMAX","RMAX","232.5","260091","Real Estate - Operations","Finance"
"Richmond Mutual Bancorporation","RMBI","142.9","10464","Banks - Northeast","Finance"
"RumbleON","RMBL","202.4","88573","Internet - Commerce","Retail-Wholesale"
"Rambus","RMBS","5944.78","1374079","Electronics - Semiconductors","Computer and Technology"
"Rocky Mountain Chocolate Factory","RMCF","19.83","100540","Retail - Restaurants","Retail-Wholesale"
"Royalty Management Holding Corporation","RMCO","16.45","10376","Financial - Investment Management","Finance"
"ResMed","RMD","37048.31","1177132","Medical - Products","Medical"
"RMG Acquisition III","RMGCF","124.82","0","Technology Services","Business Services"
"Retrieve Medical Holdings, Inc.","RMHI",".39","1072","Medical Info Systems","Medical"
"Rimini Street","RMNI","174.57","393678","Internet - Software","Computer and Technology"
"The RMR Group","RMR","779.8","69227","Real Estate - Operations","Finance"
"","RMT","517.46","95696","Financial - Investment Funds","Finance"
"Rockwell Medical","RMTI","137.46","431038","Medical - Products","Medical"
"Ramsay Health Care Ltd. Unsponsored ADR","RMYHY","6053.29","395","Medical Services","Medical"
"Avidity Biosciences","RNA","5574.13","822525","Medical - Biomedical and Genetics","Medical"
"Cartesian Therapeutics, Inc.","RNAC","527.61","74758","Medical - Biomedical and Genetics","Medical"
"TransCode Therapeutics","RNAZ","7.85","688719","Medical - Drugs","Medical"
"Ringcentral","RNG","3486.41","1115178","Internet - Software and Services","Computer and Technology"
"Range Impact, Inc.","RNGE","28.03","29972","Diversified Operations","Conglomerates"
"Ranger Energy Services","RNGR","339.46","101872","Oil and Gas - Field Services","Oils-Energy"
"Renalytix AI","RNLXY","15.87","85540","Computers - IT Services","Computer and Technology"
"RenaissanceRe","RNR","13926.14","440330","Insurance - Property and Casualty","Finance"
"RENISHAW PLC 20","RNSHF","2995.38","78","Technology Services","Business Services"
"Renasant","RNST","2365.28","458689","Banks - Southeast","Finance"
"ReNeuron Group","RNUGF",".06","0","Medical - Drugs","Medical"
"Rennova Health","RNVA","4.06","6060824","Medical Info Systems","Medical"
"ReNew Energy Global","RNW","1950.95","687130","Alternative Energy - Other","Oils-Energy"
"RenovoRx","RNXT","27.34","22368","Medical - Biomedical and Genetics","Medical"
"Construction Partners","ROAD","4983.87","403912","Building Products - Miscellaneous","Construction"
"Gibraltar Industries","ROCK","2218.54","176923","Building Products - Miscellaneous","Construction"
"Rogers","ROG","2032.32","140089","Electronics - Miscellaneous Components","Computer and Technology"
"Rohm Co.","ROHCY","4102.2","55095","Electronics - Semiconductors","Computer and Technology"
"Retail Opportunity Investments","ROIC","2229.49","3296764","REIT and Equity Trust - Retail","Finance"
"RiskOn International, Inc.","ROII",".02","17146","Technology Services","Business Services"
"Montes Archimedes Acquisition","ROIV","8778.12","3302761","Medical - Biomedical and Genetics","Medical"
"Rockwell Automation","ROK","30879.02","727869","Electronics - Miscellaneous Products","Computer and Technology"
"Roku","ROKU","10718.61","4524299","Broadcast Radio and Television","Consumer Discretionary"
"Rollins","ROL","24302.43","1686697","Building Products - Maintenance Service","Business Services"
"","ROLR","41.96","42411","Gaming","Consumer Discretionary"
"Roma Green Finance Limited","ROMA","10.32","124981","Financial - Miscellaneous Services","Finance"
"Root","ROOT","1237.14","1265167","Insurance - Property and Casualty","Finance"
"Roper Technologies","ROP","60865.41","460846","Computers - IT Services","Computer and Technology"
"Ross Stores","ROST","47574.74","2488982","Retail - Discount Stores","Retail-Wholesale"
"Royale Energy","ROYL","3.41","6892","Oil and Gas - Drilling","Oils-Energy"
"Royal Mail","ROYMY","4168.58","230","Transportation - Services","Transportation"
"Repay","RPAY","856.27","545767","Financial Transaction Services","Business Services"
"Rapid7","RPD","2562.4","767271","Internet - Software","Computer and Technology"
"Rapid Micro Biosystems","RPID","54.07","123660","Medical - Instruments","Medical"
"RPM International","RPM","17345.16","482335","Paints and Related Products","Construction"
"Virtual Piggy","RPMT","120.65","30420","Internet - Software","Computer and Technology"
"Royalty Pharma","RPRX","15554.56","2185729","Financial - Miscellaneous Services","Finance"
"Repare Therapeutics","RPTX","152.61","73655","Medical - Biomedical and Genetics","Medical"
"Richtech Robotics Inc.","RR","48.95","3075424","Technology Services","Business Services"
"Red River Bancshares","RRBI","392.45","12663","Banks - Southwest","Finance"
"Range Resources","RRC","7970.46","2495173","Oil and Gas - Exploration and Production - United States","Oils-Energy"
"Red Robin Gourmet Burgers","RRGB","83.62","388439","Retail - Restaurants","Retail-Wholesale"
"Red Rock Resorts","RRR","5625.56","603322","Gaming","Consumer Discretionary"
"Roadrunner Transportation Systems","RRTS","44.82","4838","Transportation - Truck","Transportation"
"REGAL REXNORD","RRX","11593.89","474759","Manufacturing - General Industrial ","Industrial Products"
"Reliance, Inc.","RS","17352.04","315781","Mining - Miscellaneous","Basic Materials"
"RESAAS Services","RSASF","17.22","1332","Internet - Software","Computer and Technology"
"Republic Services","RSG","66259.85","869015","Waste Removal Services","Business Services"
"Rush Street Interactive","RSI","2460.09","2210229","Gaming","Consumer Discretionary"
"Riskified","RSKD","820.06","332915","Internet - Software","Computer and Technology"
"RISKGEORGE IN","RSKIA","78.35","1051","Electronics - Miscellaneous Components","Computer and Technology"
"EnteroMedics","RSLS","2.83","134484","Medical - Instruments","Medical"
"","RSP","68798.17","5168879","Financial - Investment Funds","Finance"
"Cortex Pharmaceuticals","RSPI",".57","347408","Medical - Biomedical and Genetics","Medical"
"Research Solutions","RSSS","86.9","22803","Commercial Printing","Industrial Products"
"Reservoir Media","RSVR","587","39197","Media Conglomerates","Consumer Discretionary"
"","RTH","231.37","2523","Financial - Investment Funds","Finance"
"Rentokil Initial","RTO","13359.86","808433","Business - Services","Business Services"
"RTX Corporation","RTX","164447.09","5169383","Aerospace - Defense","Aerospace"
"RUMBLE INC","RUM","2376.87","3180291","Internet - Software","Computer and Technology"
"Sunrun","RUN","2294.99","11058400","Solar","Oils-Energy"
"Rush Enterprises","RUSHA","4957.68","447952","Automotive - Retail and Whole Sales","Retail-Wholesale"
"Rush Enterprises","RUSHB","4394.57","18578","Automotive - Retail and Whole Sales","Retail-Wholesale"
"Revolve Group","RVLV","2222.64","901233","Textile - Apparel","Consumer Discretionary"
"Revolution Medicines","RVMD","10167.18","1528271","Medical - Biomedical and Genetics","Medical"
"Revance Therapeutics","RVNC","388.14","2216873","Medical - Biomedical and Genetics","Medical"
"Retractable Technologies","RVP","21.96","54418","Medical - Dental Supplies","Medical"
"Reviva Pharmaceuticals","RVPH","30.78","364731","Medical - Drugs","Medical"
"Riverview Bancorp","RVSB","101.69","21492","Financial - Savings and Loan","Finance"
"Rail Vision","RVSN","10.86","381391","Transportation - Rail","Transportation"
"","RVT","1907.83","197051","Financial - Investment Funds","Finance"
"Revvity, Inc.","RVTY","14904.86","938245","Medical Services","Medical"
"RYVYL INC","RVYL","11.68","86259","Financial Transaction Services","Business Services"
"Runway Growth Finance Corp.","RWAY","406.67","288618","Financial - SBIC & Commercial Industry","Finance"
"Redwood Trust","RWT","972.16","825785","REIT and Equity Trust","Finance"
"Rand Worldwide","RWWI","739.06","11635","Computer - Software","Computer and Technology"
"","RWX","269.1","47376","Financial - Investment Funds","Finance"
"","RXO","4789.94","865310","Transportation - Services","Transportation"
"Recursion Pharmaceuticals","RXRX","1995.87","4202387","Medical - Drugs","Medical"
"RxSight","RXST","1935.02","530858","Medical - Instruments","Medical"
"Rackspace Technology","RXT","623.85","607191","Technology Services","Business Services"
"Royal Bank Of Canada","RY","174771.53","1310552","Banks - Foreign","Finance"
"Ryanair","RYAAY","24990.05","1394428","Transportation - Airline","Transportation"
"Rayonier Advanced Materials","RYAM","656.52","698844","Paper and Related Products","Basic Materials"
"Ryan Specialty Holdings Inc.","RYAN","18692.89","858609","Insurance - Brokerage","Finance"
"RollsRoyce","RYCEY","61830.61","8968099","Aerospace - Defense Equipment","Aerospace"
"Ryde Group Ltd.","RYDE","10.13","592993","Technology Services","Business Services"
"Ryman Healthcare Ltd. Unsponsored ADR","RYHTY","2036.48","90","Medical Services","Medical"
"Ryerson","RYI","808.28","265682","Steel - Producers","Basic Materials"
"Rayonier","RYN","4616.94","557602","Building Products - Wood","Construction"
"Rhythm Pharmaceuticals","RYTM","4137.9","551246","Medical - Biomedical and Genetics","Medical"
"Rezolute","RZLT","323.32","432716","Medical - Biomedical and Genetics","Medical"
"Rezolve AI Limited","RZLV","764.49","94806","Technology Services","Business Services"
"SentinelOne","S","8745.87","3832867","Computers - IT Services","Computer and Technology"
"Seabridge Gold","SA","1516.31","536065","Mining - Gold","Basic Materials"
"","SABA","279.41","53179","Financial - Investment Funds","Finance"
"South Atlantic Bancshares","SABK","107.79","7279","Banks - Southeast","Finance"
"Sabre","SABR","1389.07","4198960","Internet - Software and Services","Computer and Technology"
"SAB Biotherapeutics","SABS","32.4","148645","Medical - Biomedical and Genetics","Medical"
"Sachem Capital","SACH","97.71","324471","Financial - Miscellaneous Services","Finance"
"Spree Acquisition 1","SACQF","87.48","55","Business - Services","Business Services"
"SAFEHOLD INC","SAFE","1514.45","397567","REIT and Equity Trust - Residential","Finance"
"Safran","SAFRY","100850.57","83613","Aerospace - Defense","Aerospace"
"Safety Insurance Group","SAFT","1281.36","45889","Insurance - Property and Casualty","Finance"
"SAG Holdings Limited","SAG","25.28","521921","Automotive - Original Equipment","Auto-Tires-Trucks"
"Sage Therapeutics","SAGE","386","774116","Medical - Drugs","Medical"
"Sonic Automotive","SAH","2208.68","192361","Automotive - Retail and Whole Sales","Retail-Wholesale"
"Saia","SAIA","14491.39","445812","Transportation - Truck","Transportation"
"Science Applications International","SAIC","7525.57","250712","Computers - IT Services","Computer and Technology"
"SAIHEAT Limited","SAIH","19.31","2527927","Technology Services","Business Services"
"The Boston Beer Company","SAM","3541.32","134673","Beverages - Alcohol","Consumer Staples"
"Silvercrest Asset Management Group","SAMG","250.67","22989","Financial - Investment Management","Finance"
"Banco Santander","SAN","75013.24","3321934","Banks - Foreign","Finance"
"Sana Biotechnology","SANA","668.51","1186543","Medical - Biomedical and Genetics","Medical"
"Sandstorm Gold","SAND","1712.79","4193670","Mining - Gold","Basic Materials"
"Sangoma Technologies Corporation","SANG","216.54","7540","Internet - Software","Computer and Technology"
"Sanmina","SANM","4550.43","486147","Electronics - Manufacturing Services","Computer and Technology"
"S&W Seed","SANW","5.46","21990","Agriculture - Operations","Consumer Staples"
"SAP","SAP","291843.44","976997","Computer - Software","Computer and Technology"
"Seven Arts Entertainment","SAPX",".66","27195604","Film and Television Production and Distribution","Consumer Discretionary"
"Saratoga Investment Corp","SAR","342.81","52807","Financial - SBIC & Commercial Industry","Finance"
"StandardAero, Inc.","SARO","9953.58","1107136","Aerospace - Defense","Aerospace"
"Sandy Spring Bancorp","SASR","1693.42","805368","Banks - Northeast","Finance"
"SATELLOGIC INC","SATL","88.3","48415","Satellite and Communication","Computer and Technology"
"EchoStar","SATS","7012.08","1210794","Satellite and Communication","Computer and Technology"
"SatixFy Communications Ltd.","SATX","74.4","199646","Satellite and Communication","Computer and Technology"
"Cassava Sciences","SAVA","1296.58","1333582","Medical - Drugs","Medical"
"Spirit Airlines","SAVE","295.7","20080108","Transportation - Airline","Transportation"
"Sampo","SAXPY","23550.81","26636","Insurance - Property and Casualty","Finance"
"Safe Bulkers","SB","463.38","570058","Transportation - Shipping","Transportation"
"SBA Communications","SBAC","24076.46","1053116","REIT and Equity Trust - Other","Finance"
"SBC Medical Group Holdings Incorporated","SBC","705.69","30978","Medical Services","Medical"
"Seacoast Banking Corp. of Florida","SBCF","2510.26","415884","Banks - Southeast","Finance"
"Sharplink Gaming Inc.","SBET","2.62","300348","Gaming","Consumer Discretionary"
"Splash Beverage Group","SBEV","11.61","518579","Beverages - Alcohol","Consumer Staples"
