Company Name,Ticker,Market Cap (mil),Avg Volume,Industry,Sector
"Miller Industries","MLR","860.64","65555","Automotive - Original Equipment","Auto-Tires-Trucks"
"MetAlert Inc.","MLRT","1.33","13907","Technology Services","Business Services"
"Milestone Scientific","MLSS","58.52","113065","Medical - Dental Supplies","Medical"
"MOONLAKE IMMUNO","MLTX","3307.91","221555","Medical - Biomedical and Genetics","Medical"
"Mineralys Therapeutics, Inc.","MLYS","698.16","181099","Medical - Biomedical and Genetics","Medical"
"Meta Materials","MMATQ",".41","8570","Electronics - Miscellaneous Components","Computer and Technology"
"Marsh & McLennan Companies","MMC","110679.15","1902165","Insurance - Brokerage","Finance"
"Marcus & Millichap","MMI","1633.22","80772","Real Estate - Development","Finance"
"Martin Midstream Partners","MMLP","154.83","95284","Transportation - Shipping","Transportation"
"3M","MMM","73156","4242571","Diversified Operations","Conglomerates"
"Maximus","MMS","5509.81","388429","Government Services","Business Services"
"Merit Medical Systems","MMSI","5987.63","430789","Medical - Dental Supplies","Medical"
"","MMT","263.79","67134","Financial - Investment Funds","Finance"
"","MMU","575.68","160316","Financial - Investment Funds","Finance"
"MultiMetaVerse Holdings Limited","MMV","12.24","89074","Media Conglomerates","Consumer Discretionary"
"MakeMyTrip Limited","MMYT","11726.96","543637","Internet - Delivery Services","Computer and Technology"
"MIND C.T.I.","MNDO","40.05","19263","Internet - Software","Computer and Technology"
"Mobile-health Network Solutions","MNDR","8.07","1782679","Medical Info Systems","Medical"
"monday.com","MNDY","15656.88","428068","Internet - Software","Computer and Technology"
"Manuka, Inc.","MNKA",".24","0","Medical - Biomedical and Genetics","Medical"
"MannKind","MNKD","2025.59","2374672","Medical - Biomedical and Genetics","Medical"
"Mind Medicine MindMed","MNMD","612.51","1107431","Medical - Biomedical and Genetics","Medical"
"MediciNova","MNOV","75.04","16100","Medical - Biomedical and Genetics","Medical"
"Monopar Therapeutics","MNPR","66.86","1449128","Medical - Biomedical and Genetics","Medical"
"Mach Natural Resources LP","MNR","1550.1","159422","Oil and Gas - Exploration and Production - United States","Oils-Energy"
"Monro Muffler Brake","MNRO","885.6","538036","Consumer Services - Miscellaneous","Consumer Discretionary"
"MainStreet Bank","MNSB","136.46","7679","Banks - Northeast","Finance"
"MINISO Group Holding Limited","MNSO","6106.78","2051614","Retail - Apparel and Shoes","Retail-Wholesale"
"Monster Beverage","MNST","53032.51","6088101","Beverages - Soft drinks","Consumer Staples"
"Montauk Renewables","MNTK","774.08","151632","Alternative Energy - Other","Oils-Energy"
"Mentor Capital","MNTR","1.53","23672","Financial - Miscellaneous Services","Finance"
"Momentus","MNTS","15.5","1959802","Aerospace - Defense","Aerospace"
"Manitex International","MNTX","116.47","101757","Manufacturing - General Industrial ","Industrial Products"
"MoneyHero Limited","MNY","48.17","94512","Financial - Miscellaneous Services","Finance"
"Altria Group","MO","91604.63","7604049","Tobacco","Consumer Staples"
"Mongolia Energy","MOAEF","3.84","0","Coal","Oils-Energy"
"Mobilicom Limited Sponsored ADR","MOB","8.38","73575","Security and Safety Services","Industrial Products"
"Mobiquity Technologies","MOBQ","45.65","9343","Advertising and Marketing","Business Services"
"Mobix Labs, Inc.","MOBX","21.19","117962","Electronics - Semiconductors","Computer and Technology"
"Modine Manufacturing","MOD","6726.69","765037","Automotive - Original Equipment","Auto-Tires-Trucks"
"Modular Medical, Inc.","MODD","71.96","82901","Medical - Products","Medical"
"TOPGOLF CALLAWY","MODG","1770.04","1982104","Leisure and Recreation Products","Consumer Discretionary"
"ModivCare","MODV","222.11","269934","Medical Services","Medical"
"MidWestOne Financial Group","MOFG","504.12","97726","Banks - Midwest","Finance"
"Moog","MOG.A","7155.66","145438","Aerospace - Defense Equipment","Aerospace"
"Moog","MOG.B","6625.26","127","Aerospace - Defense Equipment","Aerospace"
"Mogo","MOGO","31.45","72072","Technology Services","Business Services"
"MOGU","MOGU","14.91","4427","Retail - Apparel and Shoes","Retail-Wholesale"
"Molina Healthcare","MOH","18855.98","1017878","Medical - HMOs","Medical"
"Molecular Partners AG Sponsored ADR","MOLN","227.5","39036","Medical - Biomedical and Genetics","Medical"
"Momo","MOMO","1005.6","838613","Internet - Software","Computer and Technology"
"Mondee Holdings, Inc.","MOND","126.75","93940","Technology Services","Business Services"
"MONDI PLC UNS","MONDY","6859.55","14384","Paper and Related Products","Basic Materials"
"MONOTARO","MONOY","8698.44","43526","Internet - Commerce","Retail-Wholesale"
"Morningstar","MORN","14948.57","129586","Business - Information Services","Business Services"
"The Mosaic Company","MOS","8835.82","3689949","Fertilizers","Basic Materials"
"Motus GI","MOTS","0","19331","Medical Info Systems","Medical"
"Movado Group","MOV","441.1","206281","Retail - Jewelry","Retail-Wholesale"
"Movano","MOVE","28.71","59515","Medical Info Systems","Medical"
"MP Materials","MP","3224.98","2307063","Mining - Miscellaneous","Basic Materials"
"","MPA","158.24","19849","Financial - Investment Funds","Finance"
"Motorcar Parts of America","MPAA","121.68","46675","Automotive - Replacement Parts","Auto-Tires-Trucks"
"Mid Penn Bancorp","MPB","532.84","80864","Banks - Northeast","Finance"
"Marathon Petroleum","MPC","49413.55","2379275","Oil and Gas - Refining and Marketing","Oils-Energy"
